,Fragment_selected,Monoisotopic_mass_fragment,Fragment_collision,Monoisotopic_mass_collision
S[UNIMOD:260]->U[UNIMOD:425],S[UNIMOD:260],182.97551700000002,U[UNIMOD:425],182.943469
S[UNIMOD:260]->C[UNIMOD:423],S[UNIMOD:260],182.97551700000002,C[UNIMOD:423],182.92571
C[UNIMOD:21]->S[UNIMOD:260],C[UNIMOD:21],182.97552100000001,S[UNIMOD:260],182.97551700000002
C[UNIMOD:21]->C[UNIMOD:40],C[UNIMOD:21],182.97552100000001,C[UNIMOD:40],182.966005
C[UNIMOD:21]->U[UNIMOD:425],C[UNIMOD:21],182.97552100000001,U[UNIMOD:425],182.943469
C[UNIMOD:21]->C[UNIMOD:423],C[UNIMOD:21],182.97552100000001,C[UNIMOD:423],182.92571
K[UNIMOD:1999]->K[UNIMOD:58],K[UNIMOD:1999],184.084789,K[UNIMOD:58],184.121175
K[UNIMOD:1999]->K[UNIMOD:206],K[UNIMOD:1999],184.084789,K[UNIMOD:206],184.121175
K[UNIMOD:1999]->R[UNIMOD:36],K[UNIMOD:1999],184.084789,R[UNIMOD:36],184.13241
K[UNIMOD:58]->K[UNIMOD:206],K[UNIMOD:58],184.121175,K[UNIMOD:206],184.121175
K[UNIMOD:58]->R[UNIMOD:36],K[UNIMOD:58],184.121175,R[UNIMOD:36],184.13241
K[UNIMOD:58]->R[UNIMOD:1006],K[UNIMOD:58],184.121175,R[UNIMOD:1006],184.14721400000002
K[UNIMOD:58]->K[UNIMOD:518],K[UNIMOD:58],184.121175,K[UNIMOD:518],184.15756
K[UNIMOD:58]->K[UNIMOD:1999],K[UNIMOD:58],184.121175,K[UNIMOD:1999],184.084789
K[UNIMOD:206]->R[UNIMOD:36],K[UNIMOD:206],184.121175,R[UNIMOD:36],184.13241
K[UNIMOD:206]->R[UNIMOD:1006],K[UNIMOD:206],184.121175,R[UNIMOD:1006],184.14721400000002
K[UNIMOD:206]->K[UNIMOD:518],K[UNIMOD:206],184.121175,K[UNIMOD:518],184.15756
K[UNIMOD:206]->K[UNIMOD:58],K[UNIMOD:206],184.121175,K[UNIMOD:58],184.121175
K[UNIMOD:206]->K[UNIMOD:1999],K[UNIMOD:206],184.121175,K[UNIMOD:1999],184.084789
R[UNIMOD:36]->R[UNIMOD:1006],R[UNIMOD:36],184.13241,R[UNIMOD:1006],184.14721400000002
R[UNIMOD:36]->K[UNIMOD:518],R[UNIMOD:36],184.13241,K[UNIMOD:518],184.15756
R[UNIMOD:36]->K[UNIMOD:206],R[UNIMOD:36],184.13241,K[UNIMOD:206],184.121175
R[UNIMOD:36]->K[UNIMOD:58],R[UNIMOD:36],184.13241,K[UNIMOD:58],184.121175
R[UNIMOD:36]->K[UNIMOD:1999],R[UNIMOD:36],184.13241,K[UNIMOD:1999],184.084789
R[UNIMOD:1006]->K[UNIMOD:518],R[UNIMOD:1006],184.14721400000002,K[UNIMOD:518],184.15756
